19412,11924,156592
964,412
3432,293
3293,285
3293,290
2426,217
2426,288
2426,210
2426,289
2173,246
2173,248
2173,250
2173,256
2174,210
2174,380
2174,422
2804,434
2174,187
2174,411
1739,166
1739,178
2173,187
2086,337
2870,445
3293,291
3025,272
3293,288
3025,392
1751,166
1751,169
1751,176
1751,274
1783,175
1783,273
2058,266
860,371
1783,182
1783,272
1783,11192
1785,169
1783,169
1785,246
1783,255
1783,270
1783,168
1783,375
3025,466
4081,348
1751,300
4647,407
2058,256
2426,528
2817,266
2089,180
2089,269
2089,274
2089,182
3025,295
266,206
2089,395
2754,519
1765,236
2935,4065
1785,527
2697,237
4610,402
2360,410
1785,255
1785,251
2412,401
2162,402
2162,519
2761,285
2761,382
2761,241
2761,288
2761,407
2162,241
2162,288
2162,380
2162,408
2162,422
2162,1279
850,288
2162,210
2754,285
2754,289
2162,430
2162,433
2162,187
2424,210
283,288
850,315
2424,382
850,408
2097,425
2062,11192
850,284
1746,180
850,411
850,285
850,402
2062,179
1746,272
2162,331
2162,332
2162,333
2162,337
850,286
2375,328
2035,179
2035,351
2035,577
2543,519
2425,315
2425,408
2425,210
2167,187
1746,166
4026,342
1746,270
1746,561
2375,203
2375,234
2375,320
2543,552
2424,222
2424,422
3429,293
3636,315
1746,248
2375,319
4779,422
2058,180
2097,274
4424,380
850,187
280,21
850,263
1765,167
850,58
2804,248
4421,535
1738,536
2410,224
850,395
822,528
822,594
5101,463
850,328
2064,589
1746,11192
4421,380
853,408
853,519
853,315
5547,519
853,430
2086,180
1746,266
3346,408
860,600
2836,253
853,521
5893,564
4546,395
4546,474
2543,223
2543,407
850,474
2062,246
2062,262
2062,264
853,203
853,244
853,328
2214,244
853,529
4426,536
2158,464
4426,407
2543,535
853,411
4679,519
4679,417
2086,474
2167,242
2372,464
2412,408
853,291
2425,535
853,576
2157,187
5215,476
3346,288
3346,528
2058,179
2827,251
3346,566
3632,315
853,2135
2378,528
3433,438
334,370
334,378
334,584
4679,411
4679,510
3345,288
3345,528
3345,536
2177,187
2656,285
4107,351
2177,600
1450,577
4678,411
672,422
672,499
672,608
672,609
672,186
672,433
672,494
672,535
3437,294
2214,2135
858,58
3437,422
3293,348
467,46
467,47
15305,11192
2014,645
2062,180
2062,395
2062,439
2062,422
4651,522
3019,565
4417,630
3345,573
3019,382
850,172
1755,167
4107,407
822,574
6080,583
3347,407
2360,201
3315,365
4549,536
5697,533
4311,366
4648,407
4648,552
4653,408
2460,294
2360,395
1790,325
1784,481
850,900
3019,272
3019,288
2668,2295
4543,395
5807,706
2424,307
3560,410
2460,213
6926,697
1784,183
1901,538
1796,177
850,203
2410,519
2360,647
3618,566
860,58
4115,352
1796,176
1854,324
1854,399
1854,404
1854,405
1854,406
1854,675
1854,2135
2373,203
6480,625
2206,192
2206,274
2373,608
5540,519
4548,395
4626,464
1854,173
2498,519
2498,533
2498,536
2192,611
2498,624
2498,626
2498,649
3437,377
2870,257
2223,395
3315,422
3315,395
4081,647
3315,577
6003,600
4601,634
3039,274
3266,288
3266,407
3266,408
3266,533
2498,217
2498,611
3316,567
5471,528
1854,195
3025,557
2869,634
5591,11192
2373,382
5471,648
5471,536
4107,533
4107,611
4757,536
4757,564
1786,248
2206,534
2206,588
2674,422
856,516
5473,519
5473,536
5473,611
5473,630
2035,178
2035,261
6498,627
4652,408
3284,625
853,630
2064,255
3315,285
3315,324
5109,464
3618,687
2804,325
1796,247
3437,411
3437,522
5471,649
1212,588
3042,588
2342,464
3346,634
2406,659
4757,430
4757,646
1790,170
1901,173
1790,481
340,667
3618,313
4757,494
5109,625
5109,649
4107,649
6492,626
6492,723
2596,438
2412,534
2668,235
2016,255
2460,402
2460,519
853,626
2914,262
5708,534
5708,595
5591,625
5591,683
850,313
2016,677
2158,425
2158,501
4650,594
3638,315
3638,533
3638,624
3638,629
5807,649
4647,430
6502,629
5473,528
5473,564
643,623
5473,645
5473,649
3266,291
5543,536
3266,608
3266,422
5591,536
3266,285
3136,625
3638,519
4650,408
4826,565
2885,275
2885,342
3739,567
2885,623
2885,629
2885,625
5963,573
5963,594
2384,204
6174,594
5471,535
2412,727
2405,747
2167,711
2950,739
2372,649
2372,688
3638,630
3288,285
853,581
853,608
853,609
4826,464
822,608
2360,727
1773,182
3288,626
5547,573
3288,611
2425,630
964,351
1743,330
1743,331
1743,334
6294,609
2016,177
4335,370
737,629
5889,681
2410,395
4601,401
4601,402
1796,178
2410,536
5473,697
5473,510
3428,519
3428,630
3428,742
3419,519
3419,533
4826,626
2410,645
6451,1239
2410,464
6924,697
4601,519
6476,625
3316,285
3316,517
3316,519
2410,244
2378,285
5713,534
3266,625
3266,630
4780,422
2016,315
3771,327
3771,505
3771,2295
4826,594
1743,333
850,646
2411,625
856,625
2144,184
5908,747
5908,749
5908,608
3438,463
2214,626
2687,236
853,722
853,723
853,744
853,794
853,766
4121,353
4650,747
3771,533
5908,739
2411,646
2411,697
3771,766
2144,626
3771,726
5711,789
6501,628
7368,766
3771,765
3771,2599
3816,330
3816,331
3816,333
3816,334
3816,336
3816,418
856,217
2410,533
5711,790
230,266
3093,625
5908,567
3888,790
3437,395
4651,408
4426,435
3437,534
4426,519
2885,258
5106,464
2014,760
4627,789
266,632
2378,302
4426,380
4426,609
1743,336
3437,535
1743,710
2940,263
1743,340
2940,370
1743,419
2940,584
1743,709
964,1239
3093,536
4083,611
2372,203
334,804
2372,664
5103,782
3136,280
3136,649
2499,234
3136,646
2408,649
266,179
3438,294
3438,603
3438,646
6555,738
290,659
850,529
2958,528
2950,308
4650,821
2717,418
2804,261
5471,510
1784,168
3199,628
1784,4065
4907,738
3346,645
2940,266
1784,266
5807,763
3771,629
850,630
4311,404
4652,499
4102,699
6500,628
5589,529
5589,821
5108,464
655,738
5723,625
5896,623
2389,695
5543,683
6555,643
4780,643
4780,868
6255,677
2630,800
4472,410
2630,626
2717,651
2717,652
1263,783
6707,1239
2360,643
9718,1239
1784,370
4472,386
7485,774
1971,176
1971,263
1970,660
2176,187
2176,366
853,510
853,771
3888,338
4473,519
2717,653
